Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
934,CAEPRO TECHNOLOGIES PVT LTD,United Kingdom,John Roebuck,MUMBAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.10,0.00,
935,INNERWORKINGS INDIA PVT LTD,United Kingdom,Innerworkings Europe Limited,MUMBAI,Management consultancy activities,1.75,0.03,
936,KAYCEE FINSTOCK PVT LTD,United Kingdom,NARINDER DHANDSA,MUMBAI,Other credit granting,110.00,1.72,
937,KAYCEE FINSTOCK PVT LTD,United Kingdom,NARINDER DHANDSA,MUMBAI,Other credit granting,99.80,1.56,
938,VITAS PHARMA RESEARCH PVT LTD,United Kingdom,"Scottbridge Limited, UK",HYDERABAD,Research and experimental development on natural sciences and engineering,0.24,0.00,
939,DUET INDIA HOTELS (PUNE) PVT LTD,United Kingdom,Starlight Investments Ltd,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",3.65,0.06,
940,INAVENTURE INDIA PRIVATE LIMITED,United Kingdom,INAVENTURE UK LIMITED,AHMEDABAD,Computer consultancy and computer facilities management activities,0.09,0.00,
941,PILKINGTON GLASS INDIA P. LTD,United Kingdom,Pilkington United Kingdom Ltd,NEW DELHI,"Wholesale of hardware and sanitary fittings and fixtures and flat glass including tools
such as hammers,",20.60,0.32,
942,SPEY MEDICAL PRIVATE LIMITED,United Kingdom,Abstragan Holding Ltd.,NEW DELHI,Wholesale of pharmaceutical and medical goods,8.03,0.13,
943,DEEP SEA ELECTRONICS INDIA PRIVATE LIMI,United Kingdom,Deep Sea Electronics PLC,NEW DELHI,"Wholesale of telephone, mobile phone and communications equipment and parts",3.44,0.05,
944,BELL WOVEN COMPANY INDIA PVT LTD,United Kingdom,BELLWOVEN COMPANY LIMITED,NEW DELHI,Manufacture of all types of textile garments and clothing accessories,0.30,0.00,
945,INNERWORKINGS INDIA PVT LTD,United Kingdom,INNERWORKING EUROPE LTD,MUMBAI,Management consultancy activities,0.60,0.01,
946,IPSOS RESEARCH PVT.LTD.,United Kingdom,IPSOS PAN AFRICA HOLDINGS LTD,MUMBAI,Market research and public opinion polling,145.37,2.28,
947,GAJAM INDIA PVT LTD,United Kingdom,Gajam Group Limited,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",6.60,0.10,
948,MERIDIAN SPECIALITY TECHNOLOGIES PVT LTD,United Kingdom,Andrew Sean Collinge,NEW DELHI,"Wholesale of solid, liquid and gaseous fuels and related products",0.60,0.01,
949,DILLI KARIGARI LTD,United Kingdom,Jennifer Ann Carter,NEW DELHI,Manufacture of blankets,0.14,0.00,
950,AVIAGEN INDIA POULTRY BREEDING CO PVT LT,United Kingdom,Aviagen International Holdings Limited,CHENNAI,"Raising and breeding of chickens and
capons, ducks, geese, turkeys and guinea fowls chickens and capons,",46.51,0.73,
951,MUNDIO INDIA MOBILE SERVICE PRIVATE LIMI,United Kingdom,MUNDIO MOBILE HOLDING LIMITED,CHENNAI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.10,0.00,
952,IG INFOTECH(INDIA) PVT LTD,United Kingdom,MARKET DATA LIMITED,BANGALORE,Providing software support and maintenance to the clients,3.90,0.06,
953,VITAS PHARMA RESEARCH,United,"Graham Wedlake, UK",HYDERABAD,Research and experimental development on,0.38,0.01,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PVT LTD,Kingdom,,,natural sciences and engineering,,,
954,SHUBODAYA ORGANICS PRIVATE LIMITED,United Kingdom,MANS REDDY INTERNATIONAL LIMITED,BANGALORE,Growing of other cereals,3.44,0.05,
955,NSR TECHNOLOGIES PRIVATE LIMITED,United Kingdom,NSR TECHNOLOGIES LTD,AHMEDABAD,"Wholesale of electronic valves and tubes, semiconductor devices, microchips, integrated circuits and",0.79,0.01,
956,UPR ENGINEERING PVT LTD,United Kingdom,Reginson Engineering Ltd,MUMBAI,Manufacture of other fabricated metal products n.e.c.,11.97,0.19,
957,INNERWORKINGS INDIA PVT LTD,United Kingdom,INNERWORKINGS EUROPE LTD,MUMBAI,Management consultancy activities,0.50,0.01,
958,PROCESS NINE TECHNOLOGIES PRIVATE LIMITE,United Kingdom,Graham Wedlake,NEW DELHI,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.29,0.00,
959,SQS India BFSI Limited,United Kingdom,Anand Vijayakumar Vyas,BANGALORE,Data processing activities including report writing,0.40,0.01,
960,HYDRECO HYDRAULICS INDIA PRIVATE LIMITED,United Kingdom,HYDRECO HYDRAULICS LIMITED,BANGALORE,Manufacture of fluid power equipment,22.32,0.35,
961,AEROFLEX SYSTEMS PRIVATE LIMITED,United Kingdom,AEROFLEX LIMITED,BANGALORE,"Manufacture of integrated circuits (analog, digital or hybrid)",0.10,0.00,
962,HCL TECHNOLOGIES LTD.,United Kingdom,Steve Hibberd,NEW DELHI,Providing software support and maintenance to the clients,0.01,0.00,
963,WAVE GEAR INTERNATIONAL PVT LTD,United Kingdom,"WAVE PROMITIONS INTERNATIONAL LIMITED, L",MUMBAI,"Wholesale of watches, clocks and optical goods",6.05,0.09,
964,INFOLINK HEALTH SERVICES PVT LTD,United Kingdom,HOWGATE INTERNATIONAL LTD,MUMBAI,"Activities of nurses, masseures, physiotherapists or other para-medical
practitioners",18.30,0.29,
965,PRIMELAND REAL ESTATE PRIVATE LTD,United Kingdom,Bhanu Choudhrie,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,3.00,0.05,
966,MILPAN ENGINEERING PRIVATE LIMITED,United Kingdom,JOHN PANTELIAS,AHMEDABAD,Manufacture of other articles n.e.c.,1.00,0.02,
967,ALPHA HEALTH SCIENCES PVT LTD,United Kingdom,C&C Alpha Group Limited,NEW DELHI,Medical practice activities,5.09,0.08,
968,GAJAM INDIA PVT LTD,United Kingdom,Gajam Group Limited,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",5.95,0.09,
969,ADANI ENTERPRISES LIMITED,United Kingdom,DEUTSCHE BANK AG LONNDON,AHMEDABAD,Other non-specialised wholesale trade n.e.c.,"1,083.48",16.97,
970,REACH PROMOTERS PRIVATE LIMITED,United Kingdom,Rupika Singh,NEW DELHI,Construction of buildings carried out on own- account basis or on a fee or contract basis,152.60,2.39,
971,PEARL OUTSOURCE PVT. LTD.,United Kingdom,GLOBAL FINANCIAL ACADEMY LTD.,KOCHI,Other business support service activities n.e.c.,1.12,0.02,
972,PILKINGTON AUTOMOTIVE INDIA PVT. LTD,United Kingdom,Pilkington Italy unlimited,HYDERABAD,Manufacture of glass in primary or semi- manufactured forms (such as sheets & plate glass) including mirror,100.00,1.57,
973,"LONDON COURT OF
INTERNATIONAL ARBITRATIO",United Kingdom,London court of International Arbritrati,NEW DELHI,"Other professional, scientific and technical activities n.e.c.",15.00,0.23,
974,ECLIPSE INFOTECH SOLUTIONS PRIVATE LIMIT,United Kingdom,AMARJIT SINGH HUNDAL,AHMEDABAD,Activities of call centres,0.20,0.00,
975,SUZLON ENERGY LTD,United Kingdom,DEUTSCHE BANK,AHMEDABAD,"Manufacture of other steam generators (except central heating hot water boilers), n.e.c.",105.27,1.65,
976,FAST LANE AUTOMOTIVE PRIVATE LIMITED,United Kingdom,Nirmal Singh Saranna,NEW DELHI,Other information technology and computer service activities n.e.c,2.83,0.04,
977,GENSUITE SOFTWARE SYSTEMS & SERVICES PVT,U.S.A,GENSUITE LLC,BANGALORE,Other information technology and computer service activities n.e.c,12.11,0.19,
978,E-INFOCHIPS LIMITED,U.S.A,SRIBASH DEY,AHMEDABAD,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.31,0.00,
979,CZG TECHNOLOGIES INDIA PRIVATE LIMITED,U.S.A,CZG TECHNOLOGIES LLC,BANGALORE,Other information technology and computer service activities n.e.c,1.02,0.02,
980,COHESITY STORAGE SOLUTIONS INDIA PRIVATE,U.S.A,COHESITY INC,BANGALORE,Other information technology and computer service activities n.e.c,1.93,0.03,
981,AMERICAN DENTAL PRACTICES PVT LTD,U.S.A,American Dental Practices LLC,MUMBAI,Dental practice activities,1.09,0.02,
982,FIRST SOURCE SOLUTIONS LTD.,U.S.A,Shailesh J Mehta,MUMBAI,Other information service activities n.e.c.,0.69,0.01,
983,XESO HEALTHCARE PVT LTD,U.S.A,Shah Mihir Bakulesh,MUMBAI,Other human health activities n.e.c. (including independent ambulance activities)activities),0.06,0.00,
984,SAPTHAGIRI HOSPITALITY PVT LTD,U.S.A,SAILESH A GANDHI,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes",5.84,0.09,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,,accommodation in house,,,
985,SAPTHAGIRI HOSPITALITY PVT LTD,U.S.A,SAILESH A GANDHI,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes
accommodation in house",3.04,0.05,
986,SAPTHAGIRI HOSPITALITY PVT LTD,U.S.A,KIRAN DAVE,AHMEDABAD,"Hotels and Motels, inns, resorts providing short term lodging facilities includes
accommodation in house",2.30,0.04,
987,CORELOGIX CONSULTING INDIA PRIVATE LIMIT,U.S.A,Corelogix Consulting Inc.,NEW DELHI,Other information technology and computer service activities n.e.c,2.75,0.04,
988,BELAIRE HOTELS PVT LTD,U.S.A,Maya Jain,MUMBAI,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",3.77,0.06,
989,UNITEDLEX BPO PVT LTD,U.S.A,Animesh Kumar,NEW DELHI,Other information technology and computer service activities n.e.c,17.44,0.27,
990,TECKBOND LABORATORIES PV LTD,U.S.A,"International Capital partners LLC, USA",HYDERABAD,Manufacture of basic chemical elements,9.96,0.16,
991,TECKBOND LABORATORIES PV LTD,U.S.A,"vanaja Sureddi, USA",HYDERABAD,Manufacture of basic chemical elements,2.43,0.04,
992,TECKBOND LABORATORIES PV LTD,U.S.A,"Vanaja Sureddi, USA",HYDERABAD,Manufacture of basic chemical elements,5.60,0.09,
993,BOYALLAS MARKETING SOLUTIONS PVT LTD,U.S.A,Jithendra Gudapati,HYDERABAD,Market research and public opinion polling,0.50,0.01,
994,ORVITO TECHNOLOGIES PVT LTD,U.S.A,Orvito Inc,HYDERABAD,Publishing of operating systems and system software,4.03,0.06,
995,CONDOUR MEDICAL SERVICES PVT LTD,U.S.A,Condor Luk Properties LLC,HYDERABAD,Other human health activities n.e.c. (including independent ambulance activities),0.30,0.00,
996,BOYALLAS MARKETING SOLUTIONS PVT LTD,U.S.A,Sreenivasulu Naidu Gali,HYDERABAD,Advertising,1.02,0.02,
997,BOYALLAS MARKETING SOLUTIONS PVT LTD,U.S.A,Jithendra Gudapati,HYDERABAD,Advertising,0.40,0.01,
998,SENTINI BEVERAGES PVT LTD,U.S.A,Srinivas Tipirneni,HYDERABAD,"MANUFACTURE OF DISTILLED, POTABLE, ALCOHOLIC BEVERAGES SUCH AS WHISKY,BRANDY, GIN, MIXED
DRINKS E",30.00,0.47,
999,SUMMIT DISCLOSURE SOLUTIONS INDIA PRIVAT,U.S.A,Summit Financial Printing LLC,HYDERABAD,Data processing activities including report writing,9.90,0.16,
1000,SUMMIT DISCLOSURE SOLUTIONS INDIA PRIVAT,U.S.A,James W Palmiter,HYDERABAD,Data processing activities including report writing,0.10,0.00,
1001,MEDGENOME LABS PVT LTD,U.S.A,Medgenome Inc,CHENNAI,Activities of independent diagnostic/pathological laboratories,22.88,0.36,
1002,UNIPHORE SOFTWARE SYSTEMS PRIVATE LIMITE,U.S.A,RAYMOND S STATA,CHENNAI,Data processing activities including report writing,9.90,0.16,
1003,SIMPA ENERGY INDIA PVT LTD,U.S.A,SIMPA NETWORKS INC,BANGALORE,"Manufacture of ovens, furnaces and furnace burners",21.50,0.34,
1004,SIMPA ENERGY INDIA PVT LTD,U.S.A,SIMPA NETWORKS INC,BANGALORE,Electric power generation using solar energy,24.67,0.39,
1005,UTKARSH MICRO FINANCE PVT LTD,U.S.A,International Finance Corporation IFC 21,KANPUR,Other credit granting,42.00,0.66,
1006,OZTERN TECHNOLOGY PVT. LTD.,U.S.A,STEPHEN REDWOOD,KOCHI,Other information technology and computer service activities n.e.c,1.46,0.02,
1007,OZTERN TECHNOLOGY PVT. LTD.,U.S.A,PADMAKUMAR NAIR,KOCHI,Other information technology and computer service activities n.e.c,0.78,0.01,
1008,MULTISORB TECHNOLOGIES INDIA PVT LTD,U.S.A,Multisorb Technologies Inc,MUMBAI,Wholesale of pharmaceutical and medical goods,0.10,0.00,
1009,MULTISORB TECHNOLOGIES INDIA PVT LTD,U.S.A,Multisorb Technologies International LLC,MUMBAI,Wholesale of pharmaceutical and medical goods,0.00,0.00,
1010,GLOBEFLEX RESEARCH INDIA PVT. LTD.,U.S.A,ANSMAR CAPITAL INC,MUMBAI,Activities auxiliary to financial service activities n.e.c.,0.00,0.00,
1011,1218 INDIA PVT LTD,U.S.A,1218 INC,MUMBAI,Providing software support and maintenance to the clients,0.10,0.00,
1012,TRACK MY BEAT HEALTHCARE ( INDIA)PVT. LT,U.S.A,Amanzi Holdings LLC,NEW DELHI,Activities of independent diagnostic/pathological laboratories,0.09,0.00,
1013,TRACK MY BEAT HEALTHCARE ( INDIA)PVT. LT,U.S.A,Amanzi Holdings LLC,NEW DELHI,Activities of independent diagnostic/pathological laboratories,24.57,0.38,
1014,MUNCH ADO INDIA PRIVATE LIMITED,U.S.A,MUNCH ADO INC FORMERLY HUNGRY BUZZ INC 7,KANPUR,Other information technology and computer service activities n.e.c,0.10,0.00,
1015,CAREER LAUNCHER EDU. INFRASTUCT &SERVICE,U.S.A,Rahul Tomar,NEW DELHI,Other educational services n.e.c.,0.98,0.02,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
1016,TDW INDIA LIMITED,U.S.A,TD WILLIAMSON INC,AHMEDABAD,Manufacture of other special-purpose machinery n.e.c.,42.00,0.66,
1017,TDW INDIA LIMITED,U.S.A,TD WILLIAMSON INC,AHMEDABAD,Manufacture of other special-purpose machinery n.e.c.,169.60,2.66,
1018,TDW INDIA LIMITED,U.S.A,T D WILLIAMSON INC,AHMEDABAD,Manufacture of other special-purpose machinery n.e.c.,29.22,0.46,
1019,CHILD NURTURE AND RELIEF,U.S.A,Child Nurture & Relief Inc,NEW DELHI,Other social work activities without accommodation n.e.c.,16.00,0.25,
1020,ANJ SECURITY SERVICES PRIVATE LIMITED,U.S.A,AHMED HUSSAIN JEDDY,BANGALORE,Private security activities,0.10,0.00,
1021,MADRAT GAMES PVT LTD,U.S.A,GLOBEVESTOR  MADRAT GAMES FUND I,BANGALORE,Manufacture of other games and toys n.e.c.,6.24,0.10,
1022,MADRAT GAMES PVT LTD,U.S.A,SANDEEP BORDIA,BANGALORE,Manufacture of other games and toys n.e.c.,0.00,0.00,
1023,MADRAT GAMES PVT LTD,U.S.A,SANDEEP BORDIA,BANGALORE,Manufacture of other games and toys n.e.c.,3.19,0.05,
1024,SONALI ENERGEES PVT. LTD.,U.S.A,MAULESH DESAI & KASHMIRA DESAI,AHMEDABAD,Manufacture of other articles n.e.c.,6.92,0.11,
1025,SONALI ENERGEES PVT. LTD.,U.S.A,PANKAJ DESAI & MAULESH DESAI,AHMEDABAD,Manufacture of other articles n.e.c.,3.83,0.06,
1026,SONALI ENERGEES PVT. LTD.,U.S.A,PANKAJ DESAI & VARSHA DESAI,AHMEDABAD,Manufacture of other articles n.e.c.,3.60,0.06,
1027,SONALI ENERGEES PVT. LTD.,U.S.A,PANKAJ HARILAL DESAI,AHMEDABAD,Manufacture of other articles n.e.c.,26.35,0.41,
1028,SONALI ENERGEES PVT. LTD.,U.S.A,MAULESHBHAI HARILAL DESAI,AHMEDABAD,Manufacture of other articles n.e.c.,17.57,0.28,
1029,PHG HOTELS NEW DELHI PRIVATE LIMITED,U.S.A,John Alan Ueberroth,NEW DELHI,Management consultancy activities,0.00,0.00,
1030,SAMIKARAN LEARNING PRIVATE LTD,U.S.A,Futor INC,NEW DELHI,Other educational services n.e.c.,4.60,0.07,
1031,VALUE SHOWCASE GLOBAL SOURCING INDIA PRI,U.S.A,Orchard Brands Corporation,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",0.10,0.00,
1032,HOPSCOTCH WHOLESALE TRADING PVT LTD,U.S.A,"HIT THE MARK INC,",MUMBAI,Other non-specialised wholesale trade n.e.c.,184.50,2.89,
1033,NIMBLE STORAGE INDIA PVT LTD,U.S.A,NIMBLE STORAGE GLOBAL INC,MUMBAI,Providing software support and maintenance to the clients,8.32,0.13,
1034,CAREER LAUNCHER EDU. INFRASTUCT &SERVICE,U.S.A,Ruchi Prasad,NEW DELHI,Other educational services n.e.c.,1.10,0.02,
1035,HCL TECHNOLOGIES LTD.,U.S.A,Anil Ganjoo,NEW DELHI,Providing software support and maintenance to the clients,0.10,0.00,
1036,MADRAT GAMES PVT LTD,U.S.A,GLOBEVESTOR MADRAT GAMES FUND I,BANGALORE,Manufacture of other games and toys n.e.c.,0.00,0.00,
1037,DAVINTA TECHNOLOGIES INDIA PRIVATE LIMIT,U.S.A,FINANCIAL INCLUSION TECHNOLOGIES LLC,BANGALORE,Other information technology and computer service activities n.e.c,4.93,0.08,
1038,"GLOBETOUCH TECHNOLOGIES PRIVATE
LIMITED",U.S.A,GLOBETOUCH INC,BANGALORE,Other information technology and computer service activities n.e.c,0.10,0.00,
1039,FORCEFULCRUM SOLUTIONS PRIVATE LIMITED,U.S.A,SRINIVAS H BHOPAL,BANGALORE,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page",0.03,0.00,
1040,VALUE SHOWCASE GLOBAL SOURCING INDIA PRI,U.S.A,Orchard Brands Corporation,NEW DELHI,"Activities of commission agents, brokers dealing in wholesale trade of agricultural raw material, live",0.10,0.00,
1041,PHG HOTELS NEW DELHI PRIVATE LIMITED,U.S.A,Preferred Hotels Group Inc,NEW DELHI,Management consultancy activities,0.10,0.00,
1042,SUNTERRACE ENERGY PRIVATE LIMITED,U.S.A,"Sunergy Investors , L.L.C",NEW DELHI,Electric power generation using solar energy,45.46,0.71,
1043,PERMIAN INVESTMENTS PVT LTD,U.S.A,Kirit N Patel,HYDERABAD,Activities of holding companies,9.22,0.14,
1044,PERMIAN INVESTMENTS PVT LTD,U.S.A,Nageswara Rao V Chalasani,HYDERABAD,Activities of holding companies,18.42,0.29,
1045,PERMIAN INVESTMENTS PVT LTD,U.S.A,Srinivas P Kadiyala,HYDERABAD,Activities of holding companies,9.22,0.14,
1046,PERMIAN INVESTMENTS PVT LTD,U.S.A,Vikram N Patel,HYDERABAD,Activities of holding companies,9.24,0.14,
1047,PERMIAN INVESTMENTS PVT LTD,U.S.A,Pill G Raja,HYDERABAD,Activities of holding companies,46.03,0.72,
1048,PERMIAN INVESTMENTS PVT LTD,U.S.A,Manohar Radha Agnirekula,HYDERABAD,Activities of holding companies,9.21,0.14,
1049,ZOSTEL HOSPITALITY PRIVATE LIMITED,U.S.A,Ms. Presha Paragash,JAIPUR,"Hotels and Motels, inns, resorts providing short term lodging facilities includes accommodation in house",0.03,0.00,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
1050,,,,,,(In Rs million),(In US$ million),
,PERMIAN INVESTMENTS PVT LTD,U.S.A,Venkata Vijay Babu Aadimoolam,HYDERABAD,Activities of holding companies,9.19,0.14,
1051,ZOSTEL HOSPITALITY PRIVATE LIMITED,U.S.A,Presha Pragash,JAIPUR,"Hotels and Motels, inns, resorts providing
short term lodging facilities includes accommodation in house",19.75,0.31,
1052,INNERWORKINGS INDIA PVT LTD,U.S.A,INWK HOLDINGS LLC,MUMBAI,Management consultancy activities,0.00,0.00,
1053,HCL TECHNOLOGIES LTD.,U.S.A,40 Employees Foreign National/NRI,NEW DELHI,Providing software support and maintenance to the clients,0.98,0.02,
1054,NGA TECHNOLOGIES PRIVATE LIMITED,U.S.A,Maan Ventures LLC,NEW DELHI,Other information technology and computer service activities n.e.c,23.82,0.37,
1055,I SQUARED INDIA ADVISORS PRIVATE LIMITED,U.S.A,I Squared Capital Advisors (US) LLC,NEW DELHI,Management consultancy activities,0.00,0.00,
1056,CAREER LAUNCHER EDU. INFRASTUCT &SERVICE,U.S.A,Anup prasad,NEW DELHI,Other educational services n.e.c.,2.20,0.03,
1057,VUCLIP DIGITAL MEDIA PVT LTD,U.S.A,Vuclip INC,MUMBAI,Other information technology and computer service activities n.e.c,0.10,0.00,
1058,LUBRIZOL ADVANCED MATERIALS INDIA PVT LT,U.S.A,NOVEON HILTON DAVIS INC,MUMBAI,"Manufacture of plastic in primary forms (includes amino-resins, polyurethanes etc.)",444.00,6.95,
1059,"LENDINGKART
TECHNOLOGIES PRIVATE LIMITED",U.S.A,SAAMA CAPITAL US ADVISORS,AHMEDABAD,Other information technology and computer service activities n.e.c,3.03,0.05,
1060,IMUSTI (INDIA) PL,U.S.A,IMUSTI INC.,MUMBAI,Wholesale trade via e-commerce excluding activities of commission agents,1.00,0.02,
1061,TOWER FUND SERVICES INDIA PRIVATE LIMITE,U.S.A,VINCENT M SARULLO,AHMEDABAD,Management consultancy activities,0.05,0.00,
1062,SIMPA ENERGY INDIA PVT LTD,U.S.A,SIMPA NETWORKS INC,BANGALORE,"Manufacture of ovens, furnaces and furnace burners",129.67,2.03,
1063,SM & KK TECHLABS PRIVATE LIMITED,U.S.A,PREMKUMAR NAGABANDI,BANGALORE,Other information technology and computer service activities n.e.c,0.50,0.01,
1064,SM & KK TECHLABS PRIVATE LIMITED,U.S.A,GULAM RASOOL SHAIK,BANGALORE,Other information technology and computer service activities n.e.c,4.02,0.06,
1065,AIRIS PHARMA PVT LTD,U.S.A,Mohan Reddy Patalolla,HYDERABAD,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine pharmaceuticals: antibiotics, endocrine",4.14,0.06,
1066,TATPURNAM ENTERPRISES (INDIA) PVT LTD,U.S.A,"Vishnubotla Ramanimani, USA",HYDERABAD,Providing software support and maintenance to the clients,0.00,0.00,
1067,TATPURNAM ENTERPRISES (INDIA) PVT LTD,U.S.A,"Tatpurnam Enterprises LLC, USA",HYDERABAD,Providing software support and maintenance to the clients,0.20,0.00,
1068,CHECKMARK INDIA PVT LTD,U.S.A,CHECKMARK INC,HYDERABAD,Providing software support and maintenance to the clients,0.10,0.00,
1069,SHIPCO INFRASTRUCTURE PVT. LTD.,U.S.A,PAUL PANDIAN,BANGALORE,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",5.73,0.09,
1070,SHIPCO INFRASTRUCTURE PVT. LTD.,U.S.A,AKRAM NAZIR SYED,BANGALORE,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",1.99,0.03,
1071,SHIPCO INFRASTRUCTURE PVT. LTD.,U.S.A,TRANS GLOBAL TECHNOLOGIES INC,BANGALORE,"Construction and maintenance of motorways, streets, roads, other vehicular and pedestrian ways, highways,",1.87,0.03,
1072,STORNETWARE SYSTEMS PRIVATE LIMITED,U.S.A,DEEPAK S VOKALIGA,BANGALORE,Providing software support and maintenance to the clients,1.02,0.02,
1073,XYBION INDIA PRIVATE LIMITED,U.S.A,XYBION CORPORATIOM,CHENNAI,Computer consultancy and computer facilities management activities,0.50,0.01,
1074,PERMIAN INVESTMENTS PVT LTD,U.S.A,Pill G Raja,HYDERABAD,Activities of holding companies,45.85,0.72,
1075,PERMIAN INVESTMENTS PVT LTD,U.S.A,Ashit Singh,HYDERABAD,Activities of holding companies,9.22,0.14,
1076,PERMIAN INVESTMENTS PVT LTD,U.S.A,ShyleshGanta,HYDERABAD,Activities of holding companies,9.35,0.15,
1077,PERMIAN INVESTMENTS PVT LTD,U.S.A,Swapna G Patel,HYDERABAD,Activities of holding companies,9.35,0.15,
1078,PERMIAN INVESTMENTS PVT LTD,U.S.A,Sai P Gundlapalli,HYDERABAD,Activities of holding companies,9.34,0.15,
1079,PERMIAN INVESTMENTS PVT LTD,U.S.A,Vikram N Patel,HYDERABAD,Activities of holding companies,9.34,0.15,
1080,PERMIAN INVESTMENTS PVT LTD,U.S.A,Sreehari Patibandla,HYDERABAD,Activities of holding companies,7.64,0.12,
1081,VALV TECHNOLOGIES PRIVATE LIMITED,U.S.A,VALVTECHNOLOGIES INC,CHENNAI,"Manufacture of other pumps, compressors, taps and valves etc.",0.10,0.00,
1082,CALIBRACE SOLUTIONS,U.S.A,Calibrace Inc,CHENNAI,Software installation,24.76,0.39,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,PRIVATE LIMITED,,,,,,,
1083,DUKE INDIA SERVICES PRIVATE LIMITED,U.S.A,DUKE MEDICINE GLOBAL SUPPORT CORPORATION,BANGALORE,Other business support service activities n.e.c.,0.10,0.00,
1084,DUKE INDIA SERVICES PRIVATE LIMITED,U.S.A,DUKE GLOBAL INC,BANGALORE,Other business support service activities n.e.c.,0.00,0.00,
1085,PERMIAN INVESTMENTS PVT LTD,U.S.A,Shylesh Ganta,HYDERABAD,Activities of holding companies,9.21,0.14,
1086,PERMIAN INVESTMENTS PVT LTD,U.S.A,Syam Vemulapalli,HYDERABAD,Activities of holding companies,13.79,0.22,
1087,XSAT INDIA SERVICES PRIVATE LIMITED,U.S.A,Emmett Barry Beard JR.,NEW DELHI,Computer consultancy and computer facilities management activities,5.01,0.08,
1088,EAST WEST INTEGRATIVE MEDICINE HOSPITAL,U.S.A,Baskaran Pillai,CHENNAI,Hospital activities,5.78,0.09,
1089,IDX (INDIA) DISPLAY PRIVATE LIMITED,U.S.A,IDX CORPORATION,BANGALORE,Other specialized design activities n.e.c.,0.10,0.00,
1090,AGGRIGATOR TECHNOLOGIES INDIA PRIVATE LI,U.S.A,AGGRIGATOR INC,BANGALORE,Providing software support and maintenance to the clients,0.10,0.00,
1091,XSI SEMICONDUCTORS PRIVATE LIMITED,U.S.A,SWADES CAPITAL LLC,BANGALORE,"Manufacture of integrated circuits (analog, digital or hybrid)",1.50,0.02,
1092,CLEROM TECHNOLOGIES INDIA PRIVATE LIMITE,U.S.A,LIMITLESS VENTURE HOLDINGS INC,BANGALORE,Other information technology and computer service activities n.e.c,1.00,0.02,
1093,CAREER LAUNCHER EDU. INFRASTUCT &SERVICE,U.S.A,Anup Prasad,NEW DELHI,Other educational services n.e.c.,1.10,0.02,
1094,GAURI SHIPS PVT LTD,U.S.A,GLEN MORGAN D COSTA,MUMBAI,Activities of shipping cargo agents,6.03,0.09,
1095,GAURI SHIPS PVT LTD,U.S.A,NATASHA VANESSA D COSTA,MUMBAI,Activities of shipping cargo agents,6.03,0.09,
1096,WILLIAMS CONTROLS INDIA PVT LTD,U.S.A,Williams Controls INC.,MUMBAI,"Manufacture of diverse parts and accessories for motor vehecles sucs as brakes, gearboxes, axles, road",12.31,0.19,
