Table No.19 (C),,,,,,,,
"STATEMENT ON REMITTANCE-WISE FDI EQUITY INFLOWS RECEIVED UNDER RBI’s AUTOMATIC ROUTE DURING JUNE, 2015",,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
115,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,The Industrialisation Fund For Developin,CHENNAI,Manufacture of office machinery and equipment,2.39,0.04,
116,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,The Industrialisation Fund For Developin,CHENNAI,Manufacture of office machinery and equipment,2.90,0.05,
117,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Conveyor Teknik A/S,CHENNAI,Manufacture of office machinery and equipment,3.31,0.05,
118,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Conveyor Teknik A/S,CHENNAI,Manufacture of office machinery and equipment,8.58,0.13,
119,ALBATROS TRAVEL PRIVATE LIMITED,Denmark,Albatros Travel India ApS,NEW DELHI,Tour operator activities,2.55,0.04,
120,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Investment Fund for Developing Countries,CHENNAI,Manufacture of office machinery and equipment,2.77,0.04,
121,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Conveyor Teknik A/S,CHENNAI,Manufacture of office machinery and equipment,2.45,0.04,
122,CONVEYOR TEKNIK INDIA PRIVATE LIMITED,Denmark,Investment Fund for Developing Countries,CHENNAI,Manufacture of office machinery and equipment,1.54,0.02,
123,STERA ENGINEERING (INDIA) PVT LTD,Finland,Stera Group OY,CHENNAI,Manufacture of other fabricated metal products n.e.c.,26.87,0.42,
124,LINDSTROM SERVICES INDIA PRIVATE LIMITED,Finland,Lindstrom Oy,NEW DELHI,"Renting of textiles, wearing apparel, footwear, sleeping bag, rucksack, household goods",415.52,6.51,
125,MOLYBAR ENGINEERING PRIVATE LIMITED,Finland,Simonen Petri Juhani,CHENNAI,Maintenance and repair of motor vehicles,0.20,0.00,
126,CMA CGM SHARED SERVICE CENTRE INDIA PRIV,France,CMA CGM S.A.,MUMBAI,Data processing activities including report writing,4.53,0.07,
127,DASSAULT AIRCRAFT SERVICES INDIA PRIVATE,France,Dassault aviation partcipations,NEW DELHI,Management consultancy activities,49.50,0.78,
128,SOMFY INDIA PVT LTD,France,Somfy SA,NEW DELHI,"Manufacture of other general purpose machinery n.e.c. ( fans intended for industrial applications, exhaust",30.00,0.47,
129,IPSOS RESEARCH PVT.LTD.,France,IPSOS SA,MUMBAI,Market research and public opinion polling,48.44,0.76,
130,DASSAULT AIRCRAFT SERVICES INDIA PRIVATE,France,Dassault aero service,NEW DELHI,Management consultancy activities,0.50,0.01,
131,CHAITANYA RURAL INTERMEDIATION,France,ASHOK SOM,BANGALORE,"Other financial service activities, except insurance and pension funding activities,",0.58,0.01,
,,,,,,,,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,RBI Regional Office,Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,DEVELOPME,,,,n.e.c.,,,
132,ALLEVARD IAI SUSPENSIONS PVT LTD,France,ALLEVARD RAHEJA AUTOSUSPENSIONS,MUMBAI,Manufacture of motor vehicle engines,11.13,0.17,
133,BNP PARIBAS SUNDARAM GLOBAL SECURITIES O,France,BNP PARIBAS SECURITIES SERVICES PARIS,CHENNAI,"Accounting, bookkeeping and auditing activities",4.72,0.07,
134,BNP PARIBAS SUNDARAM GLOBAL SECURITIES O,France,BNP PARIBAS SECURITIES SERVICES PARIS,CHENNAI,"Accounting, bookkeeping and auditing activities",33.15,0.52,
135,SQUAD FORGING INDIA PRIVATE LIMITED,France,AUBERT ET DUVAL SAS,BANGALORE,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",6.20,0.10,
136,SQUAD FORGING INDIA PRIVATE LIMITED,France,SETFORGE SOCIETE NOUVELLE SAS,BANGALORE,"Forging, pressing, stamping and roll-forming of metal; powder metallurgy",6.20,0.10,
137,SOGEFI-MNR ENGINE SYSTEMS INDIA (PVT) LT,France,SYSTEMS MOTEURS S.A.S.FRANCE,BANGALORE,Manufacture of computers and peripheral equipment n.e.c.,5.31,0.08,
138,EGIS INDIA CONSULTING ENGINEER PVT LTD,France,BCEOM SOCIETE FRANCAISE D'LNGENIERIE,NEW DELHI,Architectural and engineering activities and related technical consultancy,2.00,0.03,
139,EGIS INDIA CONSULTING ENGINEER PVT LTD,France,SOCIETE NOUVELLE INGEROUTE,NEW DELHI,Architectural and engineering activities and related technical consultancy,0.50,0.01,
140,EGIS INDIA CONSULTING ENGINEER PVT LTD,France,EGIS INGENIERIE S.A,NEW DELHI,Architectural and engineering activities and related technical consultancy,200.00,3.13,
141,YES OUI CARE PRIVATE LIMITED,France,Noelline Ruby,NEW DELHI,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry,",0.03,0.00,
142,YES OUI CARE PRIVATE LIMITED,France,Corinne Marthe,NEW DELHI,"Wholesale of textiles, fabrics, yarn, household linen, articles of clothing, floor coverings and tapestry,",0.03,0.00,
143,SF SLEEVINGS PRIVATE LIMITED,France,S.A.R.L HOLDING FAVIER PRESTATIONS,BANGALORE,Manufacture of moulded industrial accessories of plastics [including electrical insulating fittings of,0.05,0.00,
144,INNOVATIVE CLAD SOLUTIONS PVT LTD.,France,APERAM ALLOYS IMPHY,NEW DELHI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",20.00,0.31,
145,INNOVATIVE CLAD SOLUTIONS PVT LTD.,France,APERAM ALLOYS IMPHY,NEW DELHI,"Manufacture of jewellery of gold, silver and
other precious or base metal metal clad with precious metals",16.00,0.25,
146,INNOVATIVE CLAD SOLUTIONS PVT LTD.,France,APERAM ALLOYS IMPHY,NEW DELHI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",25.00,0.39,
147,INNOVATIVE CLAD SOLUTIONS PVT LTD.,France,APERAM ALLOYS IMPHY,NEW DELHI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",25.71,0.40,
148,INNOVATIVE CLAD SOLUTIONS PVT LTD.,France,APERMA ALLOYS IMPHY,NEW DELHI,"Manufacture of jewellery of gold, silver and other precious or base metal metal clad with precious metals",25.00,0.39,
149,BEST TECHNOLOGIES PRIVATE LIMITED,Germany,IImex E.K.,NEW DELHI,Other specialized design activities n.e.c.,0.70,0.01,
150,APOLLO FIEGE INTEGRATED LOGISTICS PVT LT,Germany,Fiege International Beteiligungs GMBH,NEW DELHI,Motorised road freight transport,9.92,0.16,
151,BEST TECHNOLOGIES PRIVATE LIMITED,Germany,3 D Con Tech digital Kons Trukt U Entw G,NEW DELHI,Other specialized design activities n.e.c.,1.83,0.03,
152,ARVIND PD COMPOSITES PRIVATE LIMITED,Germany,PD GLASSEIDEN GMBH OSCHATZ,AHMEDABAD,"Manufacture of glass fibre (including glass- wool) and yarn of glass fibre nonwoven glass fabrics, mats,",14.65,0.23,
