Table No.18 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
SHARES ROUTE DURING MARCH, 2015",,,,,,,,
76,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,7.64,0.12,
77,FIMI IRRIGATION INDIA PVT LTD,Israel,RIVULIS PLASTRO LTD,REGION NOT INDICATED,MANUFACTUR,0.00,0.00,
78,COURSEMASTER ASIA PRIVATE LTD,U.S.A,COURSEMASTER INC,REGION NOT INDICATED,COURSES WO,0.05,0.00,
79,ENERLIFE INDIA PVT LTD,Singapore,ENERLIFE PTE LTD,REGION NOT INDICATED,MANUFACTUR,0.05,0.00,
80,MEDREICH LTD,Indonesia,"PT MEIJI INDONESIAN PHARMACEUTICAL
INDUS",REGION NOT INDICATED,PHARMA FOR,0.00,0.00,
81,STAR GLOBAL MULTI VENTURES PVT LTD,UAE,AL ASRA TRADING LTD,REGION NOT INDICATED,WHOLESALE,31.78,0.51,
82,MICRO PNEUMATICS PVT LTD,Singapore,KITZ CORPORATION OF ASIA PACIFIC PTE LTD,REGION NOT INDICATED,MANUFACTUR,99.14,1.59,
83,FORUS HEALTH PVT LTD,Mauritius,ACCEL INDIA III (MAURITIUS) LTD,REGION NOT INDICATED,DEVELOPING,4.34,0.07,
84,MICRO INKS PVT LTD,Germany,MHM HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,3.84,0.06,
85,IPLACE INDIA LTD,U.S.A,IPLACE USA INC,REGION,OTHER INFO,0.04,0.00,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
,,,,NOT INDICATED,,,,
86,COURSEMASTER ASIA PRIVATE LTD,U.S.A,COURSEMASTER INC,REGION NOT INDICATED,COURSES WO,0.04,0.00,
87,IGNITEE DIGITAL SERVICES PVT LTD,Cyprus,FOUR CROSS MEDIA HOLDING 2 CYPRUS LTD,REGION NOT INDICATED,TO CREARTE,30.00,0.48,
88,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,7.55,0.12,
89,ENERLIFE INDIA PVT LTD,Singapore,ENERLIFE PTE LTD,REGION NOT INDICATED,MANUFACTUR,0.05,0.00,
90,CRYPTOPY TECHNOLOGIES PVT LTD,Mauritius,SEQUOIA CAPITAL INDIA INVESTMENT IV,REGION NOT INDICATED,BROKER FRE,6.25,0.10,
91,MEDREICH LIFE CARE LTD,Japan,MEIJI SEIKA PHARMA CO LTD,REGION NOT INDICATED,MARKETING,0.08,0.00,
92,MICRO PNEUMATICS PVT LTD,Singapore,KITZ CORPORATION OF ASIA PACIFIC PTE LTD,REGION NOT INDICATED,MANUFACTUR,242.42,3.88,
93,KALI STUDIO PVT LTD,France,MR NAOUAL CHOURAIFI,"REGION
NOT INDICATED",TO PROVIDE,0.08,0.00,
94,AEGIS LOGISTICS LTD,Mauritius,TRANS ASIS PETROLEUM INC,REGION NOT INDICATED,PROVIDING,8.90,0.14,
95,IPLACE INDIA LTD,U.S.A,IPLACE USA INC,REGION NOT INDICATED,OTHER INFO,3.89,0.06,
96,RADIANT HOSPITALITY SERVICES PVT LTD,Singapore,OCS GROUP SINGAPORE PTE LTD,REGION NOT INDICATED,HOUSEKEEPI,25.51,0.41,
97,CABB KARNAVATI RASAYAN LTD,Germany,CABB HOLDING GMBH,REGION NOT INDICATED,MANUFACTUR,10.52,0.17,
98,GATE FORUM EDUCATIONAL SERVICES PVT LTD,Singapore,MAHESH JETHANAND BULCHANDANI,REGION NOT INDICATED,EDUCATIONA,11.21,0.18,
