Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS RECEIVED BY ACQUISITION OF
70,Vyome Therapeutics Limited,UAE,"Vyome Therapeutics Inc, UAE",REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,0.00,0.00,
71,"ADANI PORTS AND SPECIAL ECONOMIC
ZONE LT",UAE,"EMERGING MARKET INVESTMENT DMCC -
UNITED","REGION NOT
INDICATED",Cargo handling incidental to water transport,290.18,4.46,
72,Rover Software Private Limited,United Kingdom,"On Device Solutions Limited,UK",REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",3.88,0.06,
73,"ADANI PORTS AND SPECIAL ECONOMIC
ZONE LT",UAE,"EMERGING MARKET INVESTMENT DMCC -
UNITED","REGION NOT
INDICATED",Cargo handling incidental to water transport,296.54,4.56,
74,Rover Software Private Limited,South Korea,"On Device Solutions Limited,UK",REGION NOT INDICATED,"Writing , modifying, testing of computer program to meet the needs of a particular client excluding web-page designing",3.88,0.06,
75,ADANI PORTS AND SPECIAL ECONOMIC ZONE LT,UAE,EMERGING MARKET INVESTMENT DMCC - UNITED,REGION NOT INDICATED,Cargo handling incidental to water transport,202.41,3.11,
76,Vyome Therapeutics Limited,U.S.A,Vyome Therapeutics Inc,REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,0.10,0.00,
77,EY Global Delivery Services India Privat,United Kingdom,EY GDS (CS) Limited (UNITED KINGDOM),"REGION NOT
INDICATED",Other business support service activities n.e.c.,0.02,0.00,
78,NEULAND HEALTH SCIENCES PVT LTD,Mauritius,MALABAR INDIA FUND LTD - MAURITIUS,REGION NOT INDICATED,Research and experimental development on natural sciences and engineering,36.24,0.56,
79,ADVINUS THERAPEUTICS LIMITED,Luxembourg,EUROFINS PHARMA SERVICES LUX HOLDING SAR,REGION NOT INDICATED,Technical testing and analysis,48.56,0.75,
80,Concord Biotech Limited,Singapore,"Helix Investment Holdings Pte. Limited,",REGION NOT INDICATED,"Manufacture of medicinal substances used in the manufacture of pharmaceuticals: antibiotics, endocrine products, basic vitamins; opium derivatives; sulpha drugs; serums and plasmas; salicylic acid, its salts and esters; glycosides and vegetable alka",5.60,0.09,
81,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius I L,REGION NOT INDICATED,Activities of Internet access by the operator of the wireless infrastructure,2.26,0.03,
82,NEULAND HEALTH SCIENCES PVT LTD,Mauritius,STEADVIEW CAPITAL MAURITIUS LTD - MAURIT,"REGION NOT
INDICATED","Research and experimental development on natural sciences and
engineering",54.18,0.83,
83,ADVINUS THERAPEUTICS LIMITED,Luxembourg,EUROFINS PHARMA SERVICES LUX HOLDING SAR,REGION NOT INDICATED,Technical testing and analysis,39.24,0.60,
84,Saurashtra Cement Limited,Mauritius,"The Arj Investment Limited, Mauritius","REGION
NOT INDICATED",Manufacture of clinkers and cement,39.03,0.60,
85,Tikona Infinet Private Limited,Mauritius,Global Long Short Partners Mauritius Iv,"REGION
NOT INDICATED",Activities of Internet access by the operator of the wireless infrastructure,1.77,0.03,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
