Table No. 19 (c),,,,,,,,,,
"STATEMENT ON REMITTANCE-WISE OF FDI EQUITY INFLOWS UNDER RBI’s AUTOMATIC ROUTE
RECEIVED DURING APRIL 2020 TO JUNE 2020",,,,,,,,,,
113,AKUMA ENERGY PRIVATE LIMITED,DELHI,East Delhi,Electric power generation using solar energy,Milan Skorpil,"Czech
Republic",0.10,0.00,"Received in the
company",
114,Alarm India Private Limited,KERALA,Thrissur,"Other information technology and computer service activities
n.e.c",Powerbrick International Limited,NewZealand,0.31,0.00,"Received in the
company",
"Sr.
No.",Name of Indian Company,State,Location (District),Item/ Activity,Name of Foreign Collaborator,Country,Amount,,Investment Type,
,,,,,,,In Rs,In US$,,
115,Alarm India Private Limited,KERALA,Thrissur,Other information technology and computer service activities n.e.c,Joseph Jabin Kannankeril Francis,NewZealand,0.20,0.00,Received in the company,
116,ALGIMATE DENTAL SYSTEMS PRIVATE LIMITED,KERALA,Ernakulam,"Manufacture of laboratory apparatus (laboratory ultrasonic cleaning machinery, laboratory sterilizers, laboratory type
distilling apparatus, laboratory centrifuges etc.)",THAKKOLKARAN ITTIACHAN WILSON,Australia,2.50,0.03,Received in the company,
117,Alliance Insurance Brokers Private Limited,MAHARASHTRA,Mumbai,Activities of insurance agents and brokers,LIATRIS PTE LTD,Singapore,0.00,0.00,Received in the company,
118,ALMTECH SOFTWARE SOLUTIONS LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the
needs of a particular client excluding web-page designing",Nader Khalid Saleh Alrajhi,Saudi Arabia,6.06,0.08,"Received in the
company",
119,ALMTECH SOFTWARE SOLUTIONS LIMITED,TELANGANA,Hyderabad,"Writing, modifying, testing of computer program to meet the
needs of a particular client excluding web-page designing",Nader Khalid Saleh Alrajhi,Saudi Arabia,6.39,0.08,"Received in the
company",
120,Altra Xergi Power Private Limited,DELHI,South West Delhi,Electric power generation using solar energy,O2 POWER SG PTE. LTD.,Singapore,45.00,0.59,Received in the company,
121,Amazon Digital Services Private Limited,KARNATAKA,Bengaluru,"Computer consultancy and computer facilities management
activities",AMAZON.COM.INCS LIMITED,Mauritius,8.52,0.11,"Received in the
company",
122,Amazon Digital Services Private Limited,KARNATAKA,Bengaluru,"Computer consultancy and computer facilities management
activities",AMAZON CORPORATE HOLDINGS PRIVATE LIMITED,Singapore,843.48,11.06,"Received in the
company",
123,AMBROSIA WELLNESS PRIVATE LIMITED,TELANGANA,Hyderabad,"Other human health activities n.e.c. (including independent
ambulance activities)",Mr. Krishnamurthi Balasubramaniam,HongKong,21.38,0.28,"Received in the
company",
124,"AMERICAN BREW CRAFTS PRIVATE
LIMITED",TELANGANA,Hyderabad,Manufacture of beer,TBULL CORPORATION,U.S.A,5.47,0.07,"Received in the
company",
125,AMERICAN INSTITUTE OF PATHOLOGY AND LABORATORY SCIENCES PRIVATE LIMITED,TELANGANA,K.V.Rangareddy,Activities of independent diagnostic/pathological laboratories,CTSI (MAURITIUS) LTD,Mauritius,41.30,0.55,Received in the company,
