Table No.19 (b),,,,,,,,
"STATEMENT ON REMMITTANCE-WISE DETAILS OF FDI EQUITY INFLOWS UNDER ACQUISITION OF SHARES ROUTE
118,VENERA TECHNOLOGIES PRIVATE LIMITED,U.S.A,Taazaa LLC,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,0.57,0.01,
119,Bhagwat Metallics Limited,Mauritius,Essar Ports and Shipping Limited,"REGION NOT
INDICATED",Wholesale of metals and metal ores,270.18,3.89,
120,Triveni Aeronautics Private Limited,Canada,Magellan Aerospace Limited,REGION NOT INDICATED,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, he",8.25,0.12,
121,ANI Technologies Private Limited,Singapore,Lazarus Holdings Pte Ltd,REGION NOT INDICATED,Other information technology and computer service activities n.e.c,150,2.16,
122,KAALBI TECHNOLOGIES PRIVATE LIMITED,Israel,RADWARE LTD,"REGION
NOT INDICATED",Providing software support and maintenance to the clients,1.32,0.02,
123,Triveni Aeronautics Private Limited,Canada,Magellan Aerospace Private Limited,REGION NOT INDICATED,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks, nacelles, airscrews, he",8.25,0.12,
124,Triveni Aeronautics Private Limited,Canada,Magellan Aerospace Limited,REGION NOT INDICATED,"Manufacture of parts and accessories of the aircraft and spacecraft of this class (major assemblies such as fuselages, wings, doors, control surfaces, landing gear, fuel tanks,
nacelles, airscrews, he",8.25,0.12,
125,CarbonNV Infologic India Private Limited,United Kingdom,Castleton Software Solutions Limited,"REGION NOT
INDICATED",Other information technology and computer service activities n.e.c,0,0,
Sl. No,Name of Indian Company,Country,Name of Foreign Collaborator,"RBI
Regional Office",Item of Manufacture,Amount of FDI Inflows,,
,,,,,,(In Rs million),(In US$ million),
